eft_id,description
1,TRF FROM  Indiaforensic SERVICES
2,TRF FROM  Indiaforensic SERVICES
3,FDRL/INTERNAL FUND TRANSFE
4,TRF FRM  Indiaforensic SERVICES
5,FDRL/INTERNAL FUND TRANSFE
6,FDRL/INTERNAL FUND TRANSFE
7,FDRL/INTERNAL FUND TRANSFE
8,FDRL/INTERNAL FUND TRANSFE
9,FDRL/INTERNAL FUND TRANSFE
10,FDRL/INTERNAL FUND TRANSFE
11,INDO GIBL Indiaforensic STL01071
12,INDO GIBL Indiaforensic STL02071
13,INDO GIBL Indiaforensic STL03071
14,INDO GIBL Indiaforensic STL04071
15,INDO GIBL Indiaforensic STL05071
16,INDO GIBL Indiaforensic STL06071
17,INDO GIBL Indiaforensic STL07071
18,INDO GIBL Indiaforensic STL10071
19,INDO GIBL Indiaforensic STL11071
20,INDO GIBL Indiaforensic STL12071
21,INDO GIBL Indiaforensic STL13071
22,INDO GIBL Indiaforensic STL14071
23,INDO GIBL Indiaforensic STL15071
24,INDO GIBL Indiaforensic STL16071
25,INDO GIBL Indiaforensic STL17071
26,INDO GIBL Indiaforensic STL18071
27,INDO GIBL Indiaforensic STL19071
28,INDO GIBL Indiaforensic STL20071
29,INDO GIBL Indiaforensic STL21071
30,INDO GIBL Indiaforensic STL22071
31,INDO GIBL Indiaforensic STL24071
32,INDO GIBL Indiaforensic STL25071
33,INDO GIBL Indiaforensic STL26071
34,INDO GIBL Indiaforensic STL27071
35,INDO GIBL Indiaforensic STL28071
36,INDO GIBL Indiaforensic STL30071
37,INDO GIBL Indiaforensic STL31071
38,INDO GIBL Indiaforensic STL01081
39,INDO GIBL Indiaforensic STL02081
40,INDO GIBL Indiaforensic STL03081
41,INDO GIBL Indiaforensic STL04081
42,INDO GIBL Indiaforensic STL05081
43,INDO GIBL Indiaforensic STL06081
44,INDO GIBL Indiaforensic STL07081
45,INDO GIBL Indiaforensic STL08081
46,INDO GIBL Indiaforensic STL09081
47,INDO GIBL Indiaforensic STL10081
48,INDO GIBL Indiaforensic STL11081
49,INDO GIBL Indiaforensic STL12081
50,INDO GIBL Indiaforensic STL13081
51,INDO GIBL Indiaforensic STL14081
52,INDO GIBL Indiaforensic STL16081
53,INDO GIBL Indiaforensic STL17081
54,INDO GIBL Indiaforensic STL18081
