eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
1001,INV 923 PAYMENT ABC TRDNG LTD,inv 923 payment abc trdng limited,1,ABC Trading Limited,abc trdng ltd,token_index,0.6,0.9,0.5296,0.0,0.8,0.6489,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
1002,PAYMENT TO NST LTD FOR SERVICE,payment to nst limited for service,2,North Star Trading Limited,nst,token_index,0.9,0.6,0.5523,1.0,0.0,0.6157,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik orta seviyede bulundu. Şirket acronym'i EFT açıklamasında bulundu.
1003,GLOBAL ENERGY PETRO CORP TRANSFER,global energy petro corporation transfer,3,Global Energy Petroleum Corporation,global energy petro corporation,token_index,0.6,0.95,0.8325,0.0,0.8,0.7647,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
1004,SUNRISE LOG LLC INVOICE PAYMENT,sunrise log llc invoice payment,4,Sunrise Logistics LLC,sunrise log llc,token_index,0.6,0.9,0.7521,0.0,0.8,0.7156,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
1005,RANDOM MARKET PAYMENT,random market payment,2,North Star Trading Limited,nst,fuzzy_fallback,0.8,0.72,0.1204,0.0,0.0,0.3961,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
1006,DELTA EXPORT INC PAYMENT,delta export incorporated payment,5,Delta Export Incorporated,delta export inc,token_index,0.6,0.95,0.7503,0.0,0.8,0.7401,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
1007,PAYMENT ABC TRADE LTD,payment abc trade limited,1,ABC Trading Limited,abc trade ltd,token_index,0.6,0.95,0.7123,0.0,0.8,0.7287,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
1008,NST TRDNG LTD SERVICE PAYMENT,nst trdng limited service payment,2,North Star Trading Limited,north star trdng ltd,token_index,0.6,0.6676,0.4789,1.0,0.0,0.6275,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik orta seviyede bulundu. Şirket acronym'i EFT açıklamasında bulundu.
1009,GLOBAL ENERGY PETRO CORP TRANSFER,global energy petro corporation transfer,3,Global Energy Petroleum Corporation,global energy petro corporation,token_index,0.6,0.95,0.8325,0.0,0.8,0.7647,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
1010,SUNRISE LOG LLC PAYMENT,sunrise log llc payment,4,Sunrise Logistics LLC,sunrise log llc,token_index,0.6,0.9,0.8352,0.0,0.8,0.7406,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
1011,DELTA EXP INC PAYMENT,delta exp incorporated payment,5,Delta Export Incorporated,delta exp inc,token_index,0.6,0.95,0.7627,0.0,0.8,0.7438,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
