eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
26323,AEPS INC DT 05-01-2019 RO,aeps incorporated dt 05 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4969,0.0,0.0,0.5766,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26679,AEPS INC DT 03-02-2019 RO,aeps incorporated dt 03 02 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4954,0.0,0.0,0.5761,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26674,AEPS INC DT 02-02-2019 RO,aeps incorporated dt 02 02 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4909,0.0,0.0,0.5748,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26290,AEPS INC DT 03-01-2019 RO,aeps incorporated dt 03 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4897,0.0,0.0,0.5744,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26657,AEPS INC DT 01-02-2019 RO,aeps incorporated dt 01 02 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4874,0.0,0.0,0.5737,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26427,AEPS INC DT 15-01-2019 RO,aeps incorporated dt 15 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.487,0.0,0.0,0.5736,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26364,AEPS INC DT 01-09-2019 RO,aeps incorporated dt 01 09 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4868,0.0,0.0,0.5735,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26273,AEPS INC DT 02-01-2019 RO,aeps incorporated dt 02 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4862,0.0,0.0,0.5734,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26348,AEPS INC DT 08-01-2019 RO,aeps incorporated dt 08 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4849,0.0,0.0,0.573,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26325,AEPS INC DT 06-01-2019 RO,aeps incorporated dt 06 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4824,0.0,0.0,0.5722,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26576,AEPS INC DT 25-01-2019 RO,aeps incorporated dt 25 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.482,0.0,0.0,0.5721,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26396,AEPS INC DT 12-01-2019 RO,aeps incorporated dt 12 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4817,0.0,0.0,0.572,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26541,AEPS INC DT 23-01-2019 RO,aeps incorporated dt 23 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4818,0.0,0.0,0.572,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26391,AEPS INC DT 11-01-2019 RO,aeps incorporated dt 11 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4811,0.0,0.0,0.5718,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26261,AEPS INC DT 01-01-2019 RO,aeps incorporated dt 01 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4806,0.0,0.0,0.5717,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26634,AEPS INC DT 31-01-2019 RO,aeps incorporated dt 31 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4798,0.0,0.0,0.5715,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26337,AEPS INC DT 07-01-2019 RO,aeps incorporated dt 07 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4801,0.0,0.0,0.5715,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26693,AEPS INC DT 04-02-2019 RO,aeps incorporated dt 04 02 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4795,0.0,0.0,0.5714,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26515,AEPS INC DT 21-01-2019 RO,aeps incorporated dt 21 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4797,0.0,0.0,0.5714,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26469,AEPS INC DT 17-01-2019 RO,aeps incorporated dt 17 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4796,0.0,0.0,0.5714,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26398,AEPS INC DT 13-01-2019 RO,aeps incorporated dt 13 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4793,0.0,0.0,0.5713,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26375,AEPS INC DT 10-01-2019 RO,aeps incorporated dt 10 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4763,0.0,0.0,0.5704,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26479,AEPS INC DT 18-01-2019 RO,aeps incorporated dt 18 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4749,0.0,0.0,0.57,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
25993,AEPS INC DT 08-12-2018 RO,aeps incorporated dt 08 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4742,0.0,0.0,0.5698,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
